"EPC","Timestamp","Antenna","TxPower(mW)","Channel Index","Frequency(MHz)","RSS(dBm)","Phase Angle(Radian)","Phase(Degree)","Doppler Shift(Hz)","Velocity",""
"0001","1603526381711196","1","32","8","922.375","-45","2.70594210983027","155.0390625","0","0.0379230635770757",""
"0002","1603526381715727","1","32","8","922.375","-63","1.44807786376405","82.96875","0","0.083861819219814",""
"0001","1603526381757256","1","32","8","922.375","-45","2.80411688025495","160.6640625","0","0.0556117109476769",""
"0002","1603526381761614","1","32","8","922.375","-64","1.54011671103718","88.2421875","0","0.0523325384827811",""
"0001","1603526381770188","1","32","8","922.375","-45","2.84093241916421","162.7734375","0","0.0742772407472742",""
"0002","1603526381774421","1","32","8","922.375","-63.5","1.72419440558346","98.7890625","0","0.375011039800012",""
"0002","1603526381815864","1","32","8","922.375","-63","1.87759248437202","107.578125","0","0.0965737355467902",""
"0001","1603526381820126","1","32","8","922.375","-45","3.03114603686203","173.671875","0","0.0993804036927665",""
"0001","1603526381828621","1","32","8","922.375","-45","3.06796157577128","175.78125","0","0.113072781323573",""
"0002","1603526381833063","1","32","8","922.375","-61.5","1.98803910109979","113.90625","0","0.167548103496206",""
"0001","1603526381874388","1","32","8","922.375","-44.5","3.23976742401447","185.625","0","0.0979435392518081",""
"0002","1603526381878575","1","32","8","922.375","-61","2.09234979467601","119.8828125","0","0.0597989018092069",""
"0001","1603526381887127","1","32","8","922.375","-44.5","3.24590334716602","185.9765625","0","0.0125670941903309",""
"0002","1603526381891582","1","32","8","922.375","-61.5","2.15984494934298","123.75","0","0.135389739509255",""
"0001","1603526381933316","1","32","8","922.375","-44.5","3.3870295796515","194.0625","0","0.0797185671152087",""
"0002","1603526381937558","1","32","8","922.375","-61","2.17211679564607","124.453125","0","0.00696416447236058",""
"0001","1603526381946124","1","32","8","922.375","-44.5","3.39930142595458","194.765625","0","0.0249987840241451",""
"0002","1603526381950427","1","32","8","922.375","-61","2.12916533358527","121.9921875","0","-0.08708100786653",""
"0001","1603526381985975","1","32","8","922.375","-44.5","3.47906842692463","199.3359375","0","0.0522245054723376",""
"0002","1603526381990174","1","32","8","922.375","-60.5","2.27642748922229","130.4296875","0","0.0966667448958412",""
"0001","1603526381998561","1","32","8","922.375","-44.5","3.47293250377309","198.984375","0","-0.0127198643644228",""
"0002","1603526382003159","1","32","8","922.375","-60","2.24574787346458","128.671875","0","-0.0616450569467174",""
"0001","1603526382038616","1","32","8","922.375","-45","3.48520435007618","199.6875","0","0.00799361941783173",""
"0002","1603526382042758","1","32","8","922.375","-60.5","2.20893233455532","126.5625","0","-0.0242570084432372",""
"0001","1603526382051246","1","32","8","922.375","-45","3.49134027322772","200.0390625","0","0.0126755512977534",""
"0002","1603526382055918","1","32","8","922.375","-60.5","2.11689348728218","121.2890625","0","-0.182475926547065",""
"0001","1603526382091381","1","32","8","922.375","-45","3.50974804268235","201.09375","0","0.0119665289316525",""
"0002","1603526382095639","1","32","8","922.375","-61","2.1046216409791","120.5859375","0","-0.00806083496843609",""
"0002","1603526382104123","1","32","8","922.375","-61","1.98190317794825","113.5546875","0","-0.37739795589492",""
"0001","1603526382108359","1","32","8","922.375","-45.5","3.49747619637926","200.390625","0","-0.018858783471625",""
"0001","1603526382144067","1","32","8","922.375","-45.5","3.52201988898543","201.796875","0","0.0179334841369581",""
"0002","1603526382148323","1","32","8","922.375","-61","1.92667986958437","110.390625","0","-0.032597961900806",""
"0002","1603526382156679","1","32","8","922.375","-61","1.93895171588745","111.09375","0","0.0383179063883736",""
"0001","1603526382160884","1","32","8","922.375","-46","3.5036121195308","200.7421875","0","-0.0285589961748157",""
"0001","1603526382196274","1","32","8","922.375","-46.5","3.49747619637926","200.390625","0","-0.00452365676435787",""
"0002","1603526382200556","1","32","8","922.375","-62","1.76100994449272","100.8984375","0","-0.10581111228726",""
"0002","1603526382209016","1","32","8","922.375","-62","1.76714586764426","101.25","0","0.0189234294196956",""
"0001","1603526382213123","1","32","8","922.375","-46.5","3.49747619637926","200.390625","0","0",""
"0001","1603526382248512","1","32","8","922.375","-47","3.47906842692463","199.3359375","0","-0.0135713537729768",""
"0002","1603526382253064","1","32","8","922.375","-62.5","1.63215555831032","93.515625","0","-0.0799588785777731",""
"0002","1603526382261512","1","32","8","922.375","-63","1.4848934026733","85.078125","0","-0.45480742298473",""
"0001","1603526382265802","1","32","8","922.375","-47.5","3.44225288801538","197.2265625","0","-0.0555554237908473",""
"0001","1603526382301052","1","32","8","922.375","-48","3.44838881116692","197.578125","0","0.00454162306072695",""
"0002","1603526382305667","1","32","8","922.375","-63","1.4848934026733","85.078125","0","0",""
"0001","1603526382314276","1","32","8","922.375","-48","3.44225288801538","197.2265625","0","-0.0121061866977182",""
"0002","1603526382318677","1","32","8","922.375","-63.5","1.42353417115788","81.5625","0","-0.123053199762202",""
"0001","1603526382359980","1","32","8","922.375","-48.5","3.44838881116692","197.578125","0","0.00350280528817226",""
"0002","1603526382364683","1","32","8","922.375","-64","1.41126232485479","80.859375","0","-0.00695962321830305",""
"0001","1603526382373127","1","32","8","922.375","-49","3.43611696486384","196.875","0","-0.0243541816217578",""
"0002","1603526382377742","1","32","8","922.375","-64","1.36217493964245","78.046875","0","-0.09807318348457",""
"0001","1603526382413235","1","32","8","922.375","-49","3.50974804268235","201.09375","0","0.0478983383536327",""
"0002","1603526382417834","1","32","8","922.375","-63.5","1.43580601746096","82.265625","0","0.0479174537236232",""
"0001","1603526382426522","1","32","8","922.375","-49","3.5465635815916","203.203125","0","0.0722927129783811",""
"0002","1603526382430819","1","32","8","922.375","-64.5","1.49102932582484","85.4296875","0","0.110961102504091",""
"0001","1603526382466479","1","32","8","922.375","-49.5","3.62019465941011","207.421875","0","0.0480793491675426",""
"0002","1603526382484015","1","32","8","922.375","-63","1.41739824800633","81.2109375","0","-0.0361137407829066",""
"0001","1603526382492408","1","32","8","922.375","-49.5","3.65087427516783","209.1796875","0","0.0308712663216138",""
"0002","1603526382496825","1","32","8","922.375","-64","1.33763124703628","76.640625","0","-0.162466726586895",""
"0001","1603526382532398","1","32","8","922.375","-49","3.75518496874405","215.15625","0","0.068056204529648",""
"0002","1603526382537095","1","32","8","922.375","-63","1.5278448647341","87.5390625","0","0.123239597705721",""
"0001","1603526382545661","1","32","8","922.375","-49","3.675417967774","210.5859375","0","-0.156917648162416",""
"0002","1603526382553172","1","32","8","922.375","-64","1.46034971006713","83.671875","0","-0.109536253144049",""
"0002","1603526382594523","1","32","8","922.375","-64","1.49102932582484","85.4296875","0","0.0193577196307979",""
"0001","1603526382598799","1","32","8","922.375","-48.5","3.59565096680394","206.015625","0","-0.0391659220817141",""
"0001","1603526382607160","1","32","8","922.375","-48.5","3.62019465941011","207.421875","0","0.076589983442471",""
"0002","1603526382611247","1","32","8","922.375","-64","1.55238855734027","88.9453125","0","0.0957260301905196",""
"0001","1603526382646573","1","32","8","922.375","-48","3.51588396583389","201.4453125","0","-0.0690525364509331",""
"0002","1603526382651157","1","32","8","922.375","-63","1.69351478982575","97.03125","0","0.0922606087818686",""
