"EPC","Timestamp","Antenna","TxPower(mW)","Channel Index","Frequency(MHz)","RSS(dBm)","Phase Angle(Radian)","Phase(Degree)","Doppler Shift(Hz)","Velocity",""
"0001","1603527282854406","1","32","8","922.375","-35","2.77957318764878","159.2578125","0","0.018770338010391",""
"0002","1603527282858723","1","32","8","922.375","-48","3.14772857674134","180.3515625","0","-0.0187045464295624",""
"0001","1603527282894233","1","32","8","922.375","-35.5","2.7243498792849","156.09375","0","-0.036177214352465",""
"0002","1603527282898765","1","32","8","922.375","-48.5","3.12318488413517","178.9453125","0","-0.0159924292383622",""
"0002","1603527282907156","1","32","8","922.375","-48.5","3.098641191529","177.5390625","0","-0.0763161543990585",""
"0001","1603527282911385","1","32","8","922.375","-35.5","2.71821395613336","155.7421875","0","-0.00933373442692543",""
"0002","1603527282947149","1","32","8","922.375","-48.5","3.11091303783208","178.2421875","0","0.00800601169657815",""
"0001","1603527282951386","1","32","8","922.375","-35.5","2.71207803298181","155.390625","0","-0.00400220526713395",""
"0001","1603527282959763","1","32","8","922.375","-35.5","2.71821395613336","155.7421875","0","0.0191109243035245",""
"0002","1603527282964007","1","32","8","922.375","-48.5","3.10477711468054","177.890625","0","-0.0094965128064198",""
"0002","1603527282999313","1","32","8","922.375","-48","3.14772857674134","180.3515625","0","0.0317409361081509",""
"0001","1603527283003611","1","32","8","922.375","-34.5","2.74275764873953","157.1484375","0","0.0146042887147076",""
"0002","1603527283007916","1","32","8","922.375","-65","2.77343726449724","158.90625","0","-1.13514180940697",""
"0001","1603527283016417","1","32","8","922.375","-34.5","2.74275764873953","157.1484375","0","0",""
"0002","1603527283020590","1","32","8","922.375","-64","2.85320426546729","163.4765625","0","0.164210096857987",""
"0002","1603527283025024","1","32","8","922.375","-47.5","3.14159265358979","180","0","1.6969630144022",""
"0001","1603527283060588","1","32","8","922.375","-34","2.6813984172241","153.6328125","0","-0.0362437374953306",""
"0002","1603527283064902","1","32","8","922.375","-62.5","2.7673013413457","158.5546875","0","-0.244887531629674",""
"0002","1603527283069305","1","32","8","922.375","-47","3.03728196001357","174.0234375","0","1.59983133481433",""
"0002","1603527283077726","1","32","8","922.375","-62.5","2.68753434037564","153.984375","0","-1.08363093869678",""
"0001","1603527283081873","1","32","8","922.375","-33.5","2.62617510886022","150.46875","0","-0.0676922676070296",""
"0002","1603527283086164","1","32","8","922.375","-47","3.06182565261974","175.4296875","0","1.15733882274569",""
"0002","1603527283123180","1","32","8","922.375","-61.5","2.66912657092102","152.9296875","0","-0.276796564323536",""
"0001","1603527283127255","1","32","8","922.375","-33.5","2.63231103201176","150.8203125","0","0.00352765882708177",""
"0002","1603527283131489","1","32","8","922.375","-47","3.04955380631665","174.7265625","0","1.19457422063049",""
"0001","1603527283140214","1","32","8","922.375","-33.5","2.64458287831485","151.5234375","0","0.024707494851551",""
"0002","1603527283144858","1","32","8","922.375","-47","3.04955380631665","174.7265625","0","0",""
"0002","1603527283149199","1","32","8","922.375","-61.5","2.66912657092102","152.9296875","0","-2.28650476830655",""
"0001","1603527283185178","1","32","8","922.375","-33","2.71821395613336","155.7421875","0","0.0427254371205298",""
"0002","1603527283189653","1","32","8","922.375","-47","3.13545673043825","179.6484375","0","0.300761560777364",""
"0002","1603527283194078","1","32","8","922.375","-61.5","2.75502949504261","157.8515625","0","-2.24309993202684",""
"0001","1603527283202476","1","32","8","922.375","-33.5","2.79798095710341","160.3125","0","0.120314415977461",""
"0002","1603527283206666","1","32","8","922.375","-47","3.22135965455985","184.5703125","0","0.966556099434978",""
